entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol
2014-10-29,2014-12-12,long,672000,1.488,1.549,40379.74,4.04,44,159949.SZ
2014-12-12,2015-08-25,long,310300,1.676,1.436,-74761.7,-14.37,256,510050.SH
2014-12-12,2015-08-25,long,335800,1.549,1.859,103754.68,19.94,256,159949.SZ
2015-10-21,2015-10-28,long,447400,2.39,2.409,7856.48,0.73,7,159949.SZ
2015-10-28,2015-11-04,long,294000,1.832,1.771,-18251.78,-3.39,7,510050.SH
2015-10-28,2015-11-04,long,223500,2.409,2.323,-19538.28,-3.63,7,159949.SZ
2015-11-09,2016-01-06,long,412300,2.521,2.291,-95424.2,-9.18,58,159949.SZ
2017-10-10,2017-10-20,long,1243700,0.759,0.744,-19216.28,-2.04,10,159949.SZ
2017-10-25,2017-11-02,long,275400,3.357,3.39,8530.76,0.92,8,510300.SH
2018-03-14,2018-03-26,long,1303500,0.716,0.64,-99596.26,-10.67,12,159949.SZ
2018-04-04,2018-04-11,long,1169300,0.713,0.697,-19203.41,-2.3,7,159949.SZ
2019-02-28,2019-03-06,long,1508300,0.54,0.603,94505.7,11.6,6,159949.SZ
2019-03-06,2019-05-10,long,184600,2.462,2.368,-17619.89,-3.88,65,510050.SH
2019-03-06,2019-05-10,long,753500,0.603,0.514,-67314.0,-14.81,65,159949.SZ
2019-05-15,2019-05-23,long,265000,3.109,3.072,-10296.39,-1.25,8,510300.SH
2019-05-23,2019-05-24,long,346400,2.349,2.336,-4990.07,-0.61,1,510050.SH
2019-05-30,2019-06-04,long,261400,3.093,3.084,-2837.0,-0.35,5,510300.SH
2019-06-21,2019-07-22,long,244000,3.302,3.309,1224.07,0.15,31,510300.SH
2019-07-22,2020-02-05,long,1508700,0.535,0.712,266475.5,33.0,198,159949.SZ
2020-02-05,2020-05-14,long,215800,2.487,2.547,12622.1,2.35,99,510050.SH
2020-02-05,2020-05-14,long,753900,0.712,0.801,66754.9,12.43,99,159949.SZ
2020-05-14,2020-07-16,long,1439500,0.801,1.099,428150.48,37.12,63,159949.SZ
2020-07-16,2020-09-01,long,258900,3.053,3.082,7031.59,0.89,47,510050.SH
2020-07-16,2020-09-01,long,719300,1.099,1.074,-18451.41,-2.33,47,159949.SZ
2020-09-07,2020-09-24,long,1460200,1.075,1.027,-71010.4,-4.52,17,159949.SZ
2020-10-13,2021-01-25,long,1340500,1.118,1.435,423911.81,28.28,104,159949.SZ
2021-01-25,2021-04-27,long,268600,3.578,3.204,-101002.89,-10.51,92,510050.SH
2021-01-25,2021-04-27,long,669900,1.435,1.264,-115095.32,-11.97,92,159949.SZ
2021-04-27,2021-08-02,long,1350100,1.264,1.53,357994.95,20.97,97,159949.SZ
2021-08-02,2021-08-19,long,356200,2.898,2.968,24307.16,2.35,17,510050.SH
2021-08-19,2021-11-19,long,233700,4.521,4.491,-7642.83,-0.72,92,510300.SH
2021-11-19,2022-01-06,long,697400,1.504,1.368,-95447.28,-9.1,48,159949.SZ
2022-01-12,2022-01-25,long,711000,1.341,1.329,-9101.51,-0.95,13,159949.SZ
2023-01-18,2023-02-22,long,837900,1.127,1.066,-51663.15,-5.47,35,159949.SZ
2023-02-28,2023-03-22,long,852600,1.047,1.009,-32924.68,-3.69,22,159949.SZ
2024-09-30,2024-10-10,long,956400,0.899,1.02,115173.8,13.39,10,159949.SZ
2024-10-10,2025-02-13,long,183800,2.651,2.616,-6723.42,-1.38,126,510050.SH
2024-10-10,2025-02-13,long,478000,1.02,0.971,-23707.51,-4.86,126,159949.SZ
2025-02-13,2025-03-14,long,972700,0.971,0.952,-19042.45,-2.02,29,159949.SZ
2025-04-10,2025-04-28,long,1119100,0.827,0.855,30770.1,3.32,18,159949.SZ
2025-05-13,2025-05-19,long,1027100,0.931,0.905,-27270.33,-2.85,6,159949.SZ
2025-05-19,2025-05-29,long,172600,2.69,2.668,-4074.64,-0.88,10,510050.SH
2025-05-19,2025-05-29,long,513300,0.905,0.881,-12594.23,-2.71,10,159949.SZ
2025-06-10,2025-06-23,long,240900,3.786,3.746,-10180.34,-1.12,13,510300.SH
2025-06-27,2025-09-04,long,949600,0.95,1.372,400069.71,44.33,69,159949.SZ
2025-09-04,2025-12-08,long,216800,3.003,3.072,14564.08,2.24,95,510050.SH
2025-09-04,2025-12-08,long,474400,1.372,1.489,55097.62,8.46,95,159949.SZ
2025-12-08,2026-06-03,long,921300,1.489,1.995,465214.86,33.9,177,159949.SZ
2026-06-03,2026-07-31,long,307000,2.992,3.05,17249.53,1.88,58,510050.SH
2026-06-03,2026-07-31,long,460200,1.995,1.61,-177674.71,-19.35,58,159949.SZ
