date,event,style,ret20_gem,ret20_300,ret20_div
2014-10-29,bull_entry,growth,0.6761325219743153,-0.17720023626698334,
2015-10-21,bull_entry,growth,23.60801781737194,7.051530414567986,
2015-11-09,bull_entry,growth,16.35135135135135,13.67924528301887,
2017-10-10,bull_entry,growth,1.3157894736842035,0.95121202822952,
2017-10-25,bull_entry,broad,1.3192612137203241,4.004929143561298,
2018-03-14,bull_entry,growth,15.44715447154472,0.5825808330905957,
2018-04-04,bull_entry,growth,1.9089574155653377,-5.600933488914817,
2019-02-28,bull_entry,growth,23.648648648648663,19.339984650805842,
2019-05-15,bull_entry,broad,-10.33898305084745,-7.874015748031493,
2019-05-30,bull_entry,broad,-8.812949640287782,-7.303202633941941,
2019-06-21,bull_entry,broad,5.566600397614319,8.775981524249431,
2019-07-22,hs300_to_gem,growth,,,
2020-10-13,bull_entry,growth,7.780979827089363,4.03206790851216,
2021-11-19,hs300_to_gem,growth,,,
2023-01-18,bull_entry,growth,10.443349753694587,8.389639639639634,
2024-09-30,bull_entry,growth,51.27436281859068,28.252551020408156,
2025-05-13,bull_entry,growth,11.599511599511603,4.560530679933672,
2025-06-10,bull_entry,broad,-1.9650655021834051,-0.4763164858428093,
2025-06-27,bull_entry,growth,6.734006734006726,2.26364846870839,
