date,from,to,close,ma200,slope,macro_regime,macro_score
2015-08-24,bull,sideways,2.003,2.232855,4.327805890021164,bull,2.0
2015-10-20,sideways,bull,2.391,2.308955,2.264568777473902,neutral,1.0
2015-11-03,bull,sideways,2.305,2.3534200000000003,3.3856832209458108,neutral,1.0
2015-11-06,sideways,bull,2.548,2.36847,3.6824479611267966,neutral,1.0
2016-01-05,bull,sideways,2.275,2.53792,2.7874585627527457,neutral,1.0
2016-02-01,sideways,bear,1.895,2.51355,-0.9184618720066176,neutral,1.0
2016-07-06,bear,sideways,2.148,2.1628950000000002,-0.15556730132277782,neutral,0.0
2016-08-03,sideways,bear,0.915,2.13002,-1.5199535807332398,neutral,1.0
2017-10-09,bear,bull,0.76,0.7548,-2.1037067780342795,bull,3.0
2017-10-19,bull,bear,0.744,0.7518299999999999,-1.6868698756424012,bull,3.0
2017-10-24,bear,bull,0.763,0.750815,-1.5046865673599887,bull,3.0
2017-11-01,bull,bear,0.729,0.74861,-1.1044030807033347,bull,3.0
2018-03-13,bear,bull,0.72,0.70672,-0.9016335974198887,neutral,1.0
2018-03-23,bull,sideways,0.649,0.7063050000000001,-0.35903223531071726,neutral,1.0
2018-04-03,sideways,bull,0.71,0.705925,-0.18028846153844955,bull,3.0
2018-04-10,bull,sideways,0.693,0.7054250000000001,-0.1945387662705171,bull,3.0
2018-04-27,sideways,bear,0.671,0.701855,-0.5913346458365691,bull,3.0
2018-05-18,bear,sideways,0.68,0.70128,-0.38636363636364424,bull,4.0
2018-06-15,sideways,bear,0.598,0.695865,-0.7721594798083588,bull,4.0
2019-02-27,bear,bull,0.54,0.5254000000000001,-3.759673947886597,neutral,1.0
2019-05-09,bull,sideways,0.506,0.5148550000000001,-0.14642850216247746,neutral,0.0
2019-05-14,sideways,bull,0.519,0.513915,-0.2678077606031374,neutral,0.0
2019-05-23,bull,bear,0.503,0.511285,-0.9607841238171942,neutral,0.0
2019-05-29,bear,bull,0.513,0.5096849999999999,-1.2936585554791706,neutral,0.0
2019-06-03,bull,bear,0.502,0.50881,-1.359001201969693,neutral,0.0
2019-06-20,bear,bull,0.519,0.5063200000000001,-1.0697642610810767,neutral,0.0
2020-08-31,bull,sideways,1.08,0.805865,6.3799032387942445,bear,-2.0
2020-10-12,sideways,bull,1.12,0.8575400000000001,5.144804924103106,neutral,-1.0
2022-01-05,bull,sideways,1.378,1.4154499999999999,1.5012387819421198,neutral,1.0
2022-03-16,sideways,bear,1.15,1.42233,-0.741821125502466,bull,3.0
2023-01-17,bear,bull,1.123,1.09142,-1.1121732000235605,neutral,-1.0
2023-02-21,bull,sideways,1.072,1.0941450000000001,0.2496747356654714,neutral,0.0
2023-04-12,sideways,bear,1.026,1.09045,-0.6065964515702761,bull,3.0
2024-09-27,bear,bull,0.841,0.7404550000000001,-1.7788330801933931,neutral,0.0
2025-03-13,bull,sideways,0.952,0.8585050000000001,2.3913030514458153,bear,-2.0
2025-05-12,sideways,bull,0.916,0.883185,1.322189844664192,neutral,-1.0
2025-05-28,bull,sideways,0.879,0.8936949999999999,1.9391008275397834,neutral,0.0
2025-06-09,sideways,bull,0.911,0.9002849999999999,2.053459083850038,neutral,1.0
2025-06-20,bull,sideways,0.895,0.91024,2.241417074307672,neutral,0.0
2025-06-26,sideways,bull,0.946,0.9153600000000001,2.424205125909864,neutral,0.0
2026-07-30,bull,sideways,1.536,1.6455100000000003,2.0521948375733547,neutral,1.0
