entry_date,exit_date,side,size,entry_price,exit_price,pnl,pnl_pct,holding_bars,symbol
2014-10-29,2014-12-12,long,672000,1.488,1.549,40379.74,4.04,44,159949.SZ
2014-12-12,2015-08-25,long,310300,1.676,1.436,-74761.7,-14.37,256,510050.SH
2014-12-12,2015-08-25,long,335800,1.549,1.859,103754.68,19.94,256,159949.SZ
2015-10-21,2015-10-28,long,447400,2.39,2.409,7856.48,0.73,7,159949.SZ
2015-10-28,2015-11-04,long,294000,1.832,1.771,-18251.78,-3.39,7,510050.SH
2015-10-28,2015-11-04,long,223500,2.409,2.323,-19538.28,-3.63,7,159949.SZ
2015-11-09,2015-11-30,long,412300,2.521,2.505,-7218.47,-0.69,21,159949.SZ
2015-11-30,2015-12-16,long,283500,1.82,1.88,16695.32,3.23,16,510050.SH
2015-11-30,2015-12-16,long,206000,2.505,2.588,16783.25,3.25,16,159949.SZ
2015-12-16,2016-01-06,long,411700,2.588,2.291,-122877.51,-11.53,21,159949.SZ
2017-10-10,2017-10-20,long,1242100,0.759,0.744,-19191.56,-2.04,10,159949.SZ
2017-10-25,2017-11-02,long,275100,3.357,3.39,8521.47,0.92,8,510300.SH
2018-03-14,2018-03-26,long,1301800,0.716,0.64,-99466.37,-10.67,12,159949.SZ
2018-04-04,2018-04-11,long,1167800,0.713,0.697,-19178.78,-2.3,7,159949.SZ
2019-02-28,2019-03-06,long,1506400,0.54,0.603,94386.66,11.6,6,159949.SZ
2019-03-06,2019-05-10,long,184300,2.462,2.368,-17591.25,-3.88,65,510050.SH
2019-03-06,2019-05-10,long,752900,0.603,0.514,-67260.4,-14.81,65,159949.SZ
2019-05-15,2019-05-23,long,264700,3.109,3.072,-10284.73,-1.25,8,510300.SH
2019-05-23,2019-05-24,long,346000,2.349,2.336,-4984.3,-0.61,1,510050.SH
2019-05-30,2019-06-04,long,261100,3.093,3.084,-2833.74,-0.35,5,510300.SH
2019-06-21,2019-07-22,long,243700,3.302,3.309,1222.57,0.15,31,510300.SH
2019-07-22,2019-10-09,long,1506800,0.535,0.565,44706.76,5.54,79,159949.SZ
2019-10-09,2019-10-23,long,163100,2.608,2.667,9364.79,2.2,14,510050.SH
2019-10-09,2019-10-23,long,752800,0.565,0.584,14043.71,3.3,14,159949.SZ
2019-10-23,2020-02-04,long,1497000,0.584,0.66,113213.32,12.95,104,159949.SZ
2020-02-04,2020-05-14,long,204700,2.412,2.547,27329.97,5.53,100,510050.SH
2020-02-04,2020-05-14,long,747800,0.66,0.801,105112.04,21.29,100,159949.SZ
2020-05-14,2020-07-16,long,1398100,0.801,1.099,415836.88,37.12,63,159949.SZ
2020-07-16,2020-09-01,long,251500,3.053,3.082,6830.61,0.89,47,510050.SH
2020-07-16,2020-09-01,long,698500,1.099,1.074,-17917.85,-2.33,47,159949.SZ
2020-09-07,2020-09-24,long,1418300,1.075,1.027,-68972.78,-4.52,17,159949.SZ
2020-10-13,2020-11-27,long,1302000,1.118,1.069,-64652.24,-4.44,45,159949.SZ
2020-11-27,2020-12-04,long,217600,3.195,3.283,18725.92,2.69,7,510050.SH
2020-11-27,2020-12-04,long,650700,1.069,1.107,24301.82,3.49,7,159949.SZ
2020-12-04,2021-01-25,long,1295400,1.107,1.435,423903.33,29.55,52,159949.SZ
2021-01-25,2021-04-27,long,259600,3.578,3.204,-97618.58,-10.51,92,510050.SH
2021-01-25,2021-04-27,long,647200,1.435,1.264,-111195.24,-11.97,92,159949.SZ
2021-04-27,2021-07-28,long,1304700,1.264,1.415,195961.11,11.88,92,159949.SZ
2021-07-28,2021-08-19,long,318100,2.9,2.968,21070.82,2.28,22,510050.SH
2021-08-19,2021-11-19,long,208700,4.521,4.491,-6825.24,-0.72,92,510300.SH
2021-11-19,2022-01-05,long,622800,1.504,1.417,-54729.36,-5.84,47,159949.SZ
2022-01-05,2022-01-06,long,145500,3.031,3.018,-2155.54,-0.49,1,510050.SH
2022-01-05,2022-01-06,long,311100,1.417,1.368,-15503.82,-3.52,1,159949.SZ
2022-01-12,2022-01-25,long,644600,1.341,1.329,-8251.52,-0.95,13,159949.SZ
2023-01-18,2023-02-22,long,759600,1.127,1.066,-46835.34,-5.47,35,159949.SZ
2023-02-28,2023-03-22,long,773000,1.047,1.009,-29850.79,-3.69,22,159949.SZ
2024-09-30,2024-10-10,long,867000,0.899,1.02,104407.87,13.39,10,159949.SZ
2024-10-10,2025-02-13,long,166700,2.651,2.616,-6097.9,-1.38,126,510050.SH
2024-10-10,2025-02-13,long,433100,1.02,0.971,-21480.59,-4.86,126,159949.SZ
2025-02-13,2025-03-14,long,881800,0.971,0.952,-17262.91,-2.02,29,159949.SZ
2025-04-10,2025-04-28,long,1014500,0.827,0.855,27894.08,3.32,18,159949.SZ
2025-05-13,2025-05-19,long,931100,0.931,0.905,-24721.45,-2.85,6,159949.SZ
2025-05-19,2025-05-29,long,156500,2.69,2.668,-3694.56,-0.88,10,510050.SH
2025-05-19,2025-05-29,long,465300,0.905,0.881,-11416.51,-2.71,10,159949.SZ
2025-06-10,2025-06-23,long,218400,3.786,3.746,-9229.5,-1.12,13,510300.SH
2025-06-27,2025-09-04,long,860900,0.95,1.372,362700.1,44.33,69,159949.SZ
2025-09-04,2025-12-08,long,196500,3.003,3.072,13200.38,2.24,95,510050.SH
2025-09-04,2025-12-08,long,430200,1.372,1.489,49964.16,8.46,95,159949.SZ
2025-12-08,2026-06-03,long,835200,1.489,1.995,421738.25,33.9,177,159949.SZ
2026-06-03,2026-07-31,long,278300,2.992,3.05,15636.95,1.88,58,510050.SH
2026-06-03,2026-07-31,long,417300,1.995,1.61,-161111.81,-19.35,58,159949.SZ
